ID	Gene symbol ID
ENSG00000001036	FUCA2
ENSG00000001497	LAS1L
ENSG00000002549	LAP3
ENSG00000002587	HS3ST1
ENSG00000002822	MAD1L1
ENSG00000003056	M6PR
ENSG00000003393	ALS2
ENSG00000003756	RBM5
ENSG00000004059	ARF5
ENSG00000004142	POLDIP2
ENSG00000004399	PLXND1
ENSG00000004700	RECQL
ENSG00000004864	SLC25A13
ENSG00000004866	ST7
ENSG00000004897	CDC27
ENSG00000004961	HCCS
ENSG00000005022	SLC25A5
ENSG00000005100	DHX33
ENSG00000005483	KMT2E
ENSG00000005812	FBXL3
ENSG00000006125	AP2B1
ENSG00000006576	PHTF2
ENSG00000006634	DBF4
ENSG00000006695	COX10
ENSG00000007080	CCDC124
ENSG00000007545	CRAMP1
ENSG00000008018	PSMB1
ENSG00000008405	CRY1
ENSG00000008513	ST3GAL1
ENSG00000008952	SEC62
ENSG00000008988	RPS20
ENSG00000009335	UBE3C
ENSG00000009413	REV3L
ENSG00000010017	RANBP9
ENSG00000010278	CD9
ENSG00000010292	NCAPD2
ENSG00000010322	NISCH
ENSG00000010626	LRRC23
ENSG00000011105	TSPAN9
ENSG00000011114	BTBD7
ENSG00000011260	UTP18
ENSG00000011422	PLAUR
ENSG00000011426	ANLN
ENSG00000011478	QPCTL
ENSG00000012048	BRCA1
ENSG00000012174	MBTPS2
ENSG00000012660	ELOVL5
ENSG00000013306	SLC25A39
ENSG00000013441	CLK1
ENSG00000013503	POLR3B
ENSG00000013810	TACC3
ENSG00000014123	UFL1
ENSG00000014164	ZC3H3
ENSG00000015153	YAF2
ENSG00000015171	ZMYND11
ENSG00000015532	XYLT2
ENSG00000016864	GLT8D1
ENSG00000018610	CXorf56
ENSG00000020426	MNAT1
ENSG00000020922	MRE11
ENSG00000023330	ALAS1
ENSG00000023445	BIRC3
ENSG00000023516	AKAP11
ENSG00000023608	SNAPC1
ENSG00000024048	UBR2
ENSG00000024526	DEPDC1
ENSG00000025156	HSF2
ENSG00000026025	VIM
ENSG00000028528	SNX1
ENSG00000029153	ARNTL2
ENSG00000030066	NUP160
ENSG00000030110	BAK1
ENSG00000030419	IKZF2
ENSG00000031691	CENPQ
ENSG00000033050	ABCF2
ENSG00000033800	PIAS1
ENSG00000033867	SLC4A7
ENSG00000034152	MAP2K3
ENSG00000034713	GABARAPL2
ENSG00000035141	FAM136A
ENSG00000035499	DEPDC1B
ENSG00000035687	ADSS
ENSG00000035862	TIMP2
ENSG00000037474	NSUN2
ENSG00000037637	FBXO42
ENSG00000039123	SKIV2L2
ENSG00000039560	RAI14
ENSG00000040531	CTNS
ENSG00000041880	PARP3
ENSG00000042088	TDP1
ENSG00000042286	AIFM2
ENSG00000042429	MED17
ENSG00000042753	AP2S1
ENSG00000043143	JADE2
ENSG00000043355	ZIC2
ENSG00000044574	HSPA5
ENSG00000046647	GEMIN8
ENSG00000047056	WDR37
ENSG00000047410	TPR
ENSG00000047634	SCML1
ENSG00000047644	WWC3
ENSG00000047932	GOPC
ENSG00000048392	RRM2B
ENSG00000048471	SNX29
ENSG00000048544	MRPS10
ENSG00000049245	VAMP3
ENSG00000049541	RFC2
ENSG00000049618	ARID1B
ENSG00000049656	CLPTM1L
ENSG00000049860	HEXB
ENSG00000050393	MCUR1
ENSG00000051009	FAM160A2
ENSG00000051128	HOMER3
ENSG00000052749	RRP12
ENSG00000054267	ARID4B
ENSG00000054282	SDCCAG8
ENSG00000054611	TBC1D22A
ENSG00000054965	FAM168A
ENSG00000055147	FAM114A2
ENSG00000055332	EIF2AK2
ENSG00000055483	USP36
ENSG00000057019	DCBLD2
ENSG00000057252	SOAT1
ENSG00000057294	PKP2
ENSG00000058600	POLR3E
ENSG00000058673	ZC3H11A
ENSG00000058804	NDC1
ENSG00000059804	SLC2A3
ENSG00000060491	OGFR
ENSG00000060971	ACAA1
ENSG00000061794	MRPS35
ENSG00000061987	MON2
ENSG00000062822	POLD1
ENSG00000063241	ISOC2
ENSG00000063322	MED29
ENSG00000064393	HIPK2
ENSG00000064419	TNPO3
ENSG00000064545	TMEM161A
ENSG00000064651	SLC12A2
ENSG00000064703	DDX20
ENSG00000064726	BTBD1
ENSG00000064932	SBNO2
ENSG00000064995	TAF11
ENSG00000065029	ZNF76
ENSG00000065060	UHRF1BP1
ENSG00000065183	WDR3
ENSG00000065357	DGKA
ENSG00000065361	ERBB3
ENSG00000065491	TBC1D22B
ENSG00000065518	NDUFB4
ENSG00000065526	SPEN
ENSG00000065923	SLC9A7
ENSG00000065970	FOXJ2
ENSG00000066027	PPP2R5A
ENSG00000066654	THUMPD1
ENSG00000066777	ARFGEF1
ENSG00000066855	MTFR1
ENSG00000067704	IARS2
ENSG00000067900	ROCK1
ENSG00000068120	COASY
ENSG00000068137	PLEKHH3
ENSG00000068305	MEF2A
ENSG00000068394	GPKOW
ENSG00000068489	PRR11
ENSG00000068654	POLR1A
ENSG00000068697	LAPTM4A
ENSG00000068878	PSME4
ENSG00000068885	IFT80
ENSG00000069248	NUP133
ENSG00000069275	NUCKS1
ENSG00000069869	NEDD4
ENSG00000069943	PIGB
ENSG00000069974	RAB27A
