ID	Gene symbol ID
ENSG00000000419	DPM1
ENSG00000000457	SCYL3
ENSG00000001036	FUCA2
ENSG00000001167	NFYA
ENSG00000001497	LAS1L
ENSG00000001629	ANKIB1
ENSG00000001631	KRIT1
ENSG00000002016	RAD52
ENSG00000002330	BAD
ENSG00000002549	LAP3
ENSG00000002587	HS3ST1
ENSG00000002822	MAD1L1
ENSG00000002834	LASP1
ENSG00000003056	M6PR
ENSG00000003393	ALS2
ENSG00000003402	CFLAR
ENSG00000003509	NDUFAF7
ENSG00000003756	RBM5
ENSG00000004059	ARF5
ENSG00000004142	POLDIP2
ENSG00000004399	PLXND1
ENSG00000004487	KDM1A
ENSG00000004534	RBM6
ENSG00000004700	RECQL
ENSG00000004779	NDUFAB1
ENSG00000004864	SLC25A13
ENSG00000004866	ST7
ENSG00000004897	CDC27
ENSG00000004961	HCCS
ENSG00000004975	DVL2
ENSG00000005001	PRSS22
ENSG00000005007	UPF1
ENSG00000005022	SLC25A5
ENSG00000005075	POLR2J
ENSG00000005100	DHX33
ENSG00000005156	LIG3
ENSG00000005175	RPAP3
ENSG00000005194	CIAPIN1
ENSG00000005206	SPPL2B
ENSG00000005302	MSL3
ENSG00000005339	CREBBP
ENSG00000005483	KMT2E
ENSG00000005700	IBTK
ENSG00000005801	ZNF195
ENSG00000005810	MYCBP2
ENSG00000005812	FBXL3
ENSG00000005884	ITGA3
ENSG00000005893	LAMP2
ENSG00000006062	MAP3K14
ENSG00000006118	TMEM132A
ENSG00000006125	AP2B1
ENSG00000006432	MAP3K9
ENSG00000006451	RALA
ENSG00000006576	PHTF2
ENSG00000006607	FARP2
ENSG00000006634	DBF4
ENSG00000006695	COX10
ENSG00000006704	GTF2IRD1
ENSG00000006712	PAF1
ENSG00000006744	ELAC2
ENSG00000006837	CDKL3
ENSG00000007047	MARK4
ENSG00000007080	CCDC124
ENSG00000007168	PAFAH1B1
ENSG00000007202	KIAA0100
ENSG00000007255	TRAPPC6A
ENSG00000007341	ST7L
ENSG00000007376	RPUSD1
ENSG00000007392	LUC7L
ENSG00000007866	TEAD3
ENSG00000007923	DNAJC11
ENSG00000007944	MYLIP
ENSG00000007968	E2F2
ENSG00000008018	PSMB1
ENSG00000008083	JARID2
ENSG00000008128	CDK11A
ENSG00000008256	CYTH3
ENSG00000008282	SYPL1
ENSG00000008283	CYB561
ENSG00000008294	SPAG9
ENSG00000008311	AASS
ENSG00000008324	SS18L2
ENSG00000008394	MGST1
ENSG00000008405	CRY1
ENSG00000008513	ST3GAL1
ENSG00000008710	PKD1
ENSG00000008952	SEC62
ENSG00000008988	RPS20
ENSG00000009307	CSDE1
ENSG00000009335	UBE3C
ENSG00000009413	REV3L
ENSG00000009830	POMT2
ENSG00000009844	VTA1
ENSG00000009954	BAZ1B
ENSG00000010017	RANBP9
ENSG00000010072	SPRTN
ENSG00000010165	METTL13
ENSG00000010244	ZNF207
ENSG00000010270	STARD3NL
ENSG00000010278	CD9
ENSG00000010292	NCAPD2
ENSG00000010318	PHF7
ENSG00000010322	NISCH
ENSG00000010361	FUZ
ENSG00000010626	LRRC23
ENSG00000010704	HFE
ENSG00000010803	SCMH1
ENSG00000010818	HIVEP2
ENSG00000011009	LYPLA2
ENSG00000011021	CLCN6
ENSG00000011105	TSPAN9
ENSG00000011114	BTBD7
ENSG00000011132	APBA3
ENSG00000011243	AKAP8L
ENSG00000011258	MBTD1
ENSG00000011260	UTP18
ENSG00000011295	TTC19
ENSG00000011304	PTBP1
ENSG00000011405	PIK3C2A
ENSG00000011422	PLAUR
ENSG00000011426	ANLN
ENSG00000011454	RABGAP1
ENSG00000011478	QPCTL
ENSG00000011485	PPP5C
ENSG00000011566	MAP4K3
ENSG00000012048	BRCA1
ENSG00000012174	MBTPS2
ENSG00000012660	ELOVL5
ENSG00000012963	UBR7
ENSG00000013275	PSMC4
ENSG00000013288	MAN2B2
ENSG00000013306	SLC25A39
ENSG00000013364	MVP
ENSG00000013375	PGM3
ENSG00000013392	RWDD2A
ENSG00000013441	CLK1
ENSG00000013503	POLR3B
ENSG00000013573	DDX11
ENSG00000013583	HEBP1
ENSG00000013810	TACC3
ENSG00000014123	UFL1
ENSG00000014138	POLA2
ENSG00000014164	ZC3H3
ENSG00000014641	MDH1
ENSG00000014824	SLC30A9
ENSG00000014919	COX15
ENSG00000015153	YAF2
ENSG00000015171	ZMYND11
ENSG00000015532	XYLT2
ENSG00000015676	NUDCD3
ENSG00000016864	GLT8D1
ENSG00000017797	RALBP1
ENSG00000018510	AGPS
ENSG00000018610	CXorf56
ENSG00000018699	TTC27
ENSG00000019549	SNAI2
ENSG00000019582	CD74
ENSG00000020129	NCDN
ENSG00000020426	MNAT1
ENSG00000020577	SAMD4A
ENSG00000021776	AQR
ENSG00000022277	RTFDC1
ENSG00000023041	ZDHHC6
ENSG00000023191	RNH1
ENSG00000023228	NDUFS1
ENSG00000023318	ERP44
ENSG00000023330	ALAS1
ENSG00000023445	BIRC3
ENSG00000023516	AKAP11
ENSG00000023608	SNAPC1
ENSG00000023734	STRAP
ENSG00000024048	UBR2
ENSG00000024526	DEPDC1
ENSG00000024862	CCDC28A
ENSG00000025156	HSF2
ENSG00000025423	HSD17B6
ENSG00000025434	NR1H3
ENSG00000025708	TYMP
ENSG00000025770	NCAPH2
ENSG00000025772	TOMM34
ENSG00000025796	SEC63
ENSG00000025800	KPNA6
ENSG00000026025	VIM
ENSG00000026036	RTEL1-TNFRSF6B
ENSG00000026508	CD44
ENSG00000027697	IFNGR1
ENSG00000027847	B4GALT7
ENSG00000028203	VEZT
